iter	RMSE
0	0.9801686142
1	0.9779665742
2	0.9761781839
3	0.9746046432
4	0.9731059249
5	0.9719970436
6	0.9709813008
7	0.970164246
8	0.9693876216
9	0.968663458
10	0.9681019488
11	0.9675471205
12	0.9670919631
13	0.9667311921
14	0.9662947598
15	0.9659938795
16	0.9656366613
17	0.9653585313
18	0.965069719
19	0.9647428563
20	0.9645300893
21	0.964291437
22	0.9640698287
23	0.9638153033
24	0.9636174955
25	0.963391632
26	0.9632451891
27	0.9630591956
28	0.9629000197
29	0.9627144089
30	0.9625603416
31	0.9624311767
32	0.9622748532
33	0.9620884923
34	0.961912645
35	0.961790105
36	0.9616930879
37	0.9615641269
38	0.9614479285
39	0.9613248702
40	0.9612150962
41	0.9610986924
42	0.960967895
43	0.9608497693
44	0.9607518107
45	0.9606244084
46	0.9605208482
47	0.9604075861
48	0.9603288022
49	0.9602194225
50	0.9601298048
51	0.9600561391
52	0.9599850361
53	0.959901001
54	0.9598492766
55	0.9597395647
56	0.9596169627
57	0.959489851
58	0.9594084262
59	0.959330715
60	0.9592256083
61	0.9591071573
62	0.9590030921
63	0.9589402045
64	0.958864663
65	0.9587441544
66	0.9587008142
67	0.9586353898
68	0.9585912123
69	0.9585121821
70	0.9584497097
71	0.9584039261
72	0.9583351801
73	0.9582742489
74	0.9581897115
75	0.9581524571
76	0.9581027794
77	0.9580607186
78	0.9579710706
79	0.9578898113
80	0.9578462225
81	0.9577670032
82	0.9577254743
83	0.9576543431
84	0.9576249989
85	0.9575461515
86	0.9575091261
87	0.9574416452
88	0.9574091275
89	0.9573829797
90	0.9573351638
91	0.9572670379
92	0.9572267514
93	0.957193647
94	0.9571418257
95	0.9570990996
96	0.9570453143
97	0.9570020165
98	0.9569381823
99	0.9569106364
100	0.9568708285
101	0.9568083039
102	0.9567436112
103	0.9566752222
104	0.9566259352
105	0.9565808618
106	0.9565581436
107	0.9565205738
108	0.9564720922
109	0.9564513587
110	0.9564244761
111	0.9564034395
112	0.9563673086
113	0.956309869
114	0.9562820081
115	0.956280011
116	0.9562694797
117	0.9562223841
118	0.9561853414
119	0.9561590769
120	0.9561304263
121	0.9561162984
122	0.9560694179
123	0.9560430527
124	0.9559919197
125	0.9559558628
126	0.9559034102
127	0.9558733205
128	0.9558452788
129	0.9558249022
130	0.9557906152
131	0.9557204543
132	0.9556534563
133	0.9556064308
134	0.9555540536
135	0.9555025024
136	0.9554896901
137	0.955439101
138	0.9554133398
139	0.955364648
140	0.9553363943
141	0.9552839266
142	0.9552437037
143	0.9551817909
144	0.9551082676
145	0.9550554368
146	0.9550084335
147	0.9549498938
148	0.9548964845
149	0.9548496295
150	0.9548167584
151	0.954777724
152	0.9547489732
153	0.9547150406
154	0.9546731927
155	0.9546503443
156	0.9546038364
157	0.954561932
158	0.9545092255
159	0.9544858674
160	0.9544554012
161	0.9544296217
162	0.9543716682
163	0.9543518016
164	0.9543059327
165	0.9542570322
166	0.9542110997
167	0.9541837259
168	0.9541420121
169	0.9541183992
170	0.9540772065
171	0.9540077903
172	0.9539567374
173	0.953941539
174	0.9539075418
175	0.9538542765
176	0.9538070737
177	0.9537848548
178	0.9537224662
179	0.9536883995
180	0.9536585482
181	0.9536067766
182	0.9535812904
183	0.9535670533
184	0.9535414973
185	0.9535023803
186	0.9534440329
187	0.9533931833
188	0.9533578754
189	0.9533168428
190	0.9532796975
191	0.9532601018
192	0.9532433654
193	0.9531854649
194	0.9531848243
195	0.9531381342
196	0.953095366
197	0.9530592957
198	0.9530235664
199	0.9529896327
200	0.9529575246
201	0.952955223
202	0.9529066035
203	0.9528703506
204	0.9528183751
205	0.9527851768
206	0.9527607955
207	0.9527286797
208	0.9527124352
209	0.9526962318
210	0.9526674589
211	0.952634017
212	0.9525977142
213	0.9525584307
214	0.952521008
215	0.9524811755
216	0.9524799483
217	0.9524587109
218	0.9524228449
219	0.9523839062
220	0.9523295777
221	0.9522919486
222	0.9522560363
223	0.9522311135
224	0.9522201522
225	0.9521794716
226	0.9521471202
227	0.9521276996
228	0.9521028512
229	0.9520697292
230	0.9520394638
231	0.9520382195
232	0.9520048974
233	0.9519773651
234	0.951935017
235	0.9519332173
236	0.9519134112
237	0.9518763555
238	0.9518593461
239	0.9517924632
240	0.9517694859
241	0.9517392616
242	0.9517106874
243	0.9516777721
244	0.9516133446
245	0.9515805089
246	0.9515405154
247	0.9515110415
248	0.9514975884
249	0.9514512409
250	0.9514387261
251	0.9513954324
252	0.9513914177
253	0.9513835734
254	0.9513575618
255	0.9513378521
256	0.9512877375
257	0.9512430629
258	0.9512101016
259	0.9511719794
260	0.9511308562
261	0.9511167668
262	0.9510903263
263	0.951071613
264	0.9510505
265	0.9510445714
266	0.9509929152
267	0.9509661143
268	0.9509189588
269	0.9508915413
270	0.9508415934
271	0.9508140763
272	0.9507787801
273	0.9507503612
274	0.9507469078
275	0.9507243546
276	0.9506922357
277	0.9506562897
278	0.9506347619
279	0.9506095695
280	0.9505731939
281	0.9505527134
282	0.9505140995
283	0.9504731643
284	0.9504518913
285	0.9504268447
286	0.9503836529
287	0.9503486468
288	0.9502782205
289	0.9502336514
290	0.9502096265
291	0.9501855759
292	0.9501550982
293	0.9501146392
294	0.9500780519
295	0.950077356
296	0.9500499025
297	0.9500112603
298	0.9500025381
299	0.9499755954
300	0.9499547676
301	0.9499142177
302	0.9498915344
303	0.949846589
304	0.9498045331
305	0.9497585037
306	0.9497512424
307	0.9497464692
308	0.9497108374
309	0.9496882682
310	0.9496685718
311	0.9496501563
312	0.9496211425
313	0.9495847352
314	0.949522492
315	0.9494978254
316	0.9494707314
