iter	Passed	Remaining
0	338	337853
1	469	234528
2	586	194918
3	678	168929
4	809	161014
5	927	153623
6	1030	146198
7	1175	145773
8	1259	138638
9	1387	137349
10	1491	134128
11	1591	131049
12	1719	130532
13	1832	129035
14	1948	127926
15	2068	127238
16	2215	128104
17	2362	128896
18	2508	129524
19	2671	130909
20	2784	129805
21	2907	129239
22	3036	129005
23	3166	128768
24	3292	128419
25	3431	128548
26	3543	127705
27	3685	127936
28	3782	126633
29	3905	126276
30	4083	127626
31	4260	128884
32	4384	128469
33	4489	127560
34	4602	126903
35	4679	125314
36	4769	124133
37	4901	124078
38	5007	123383
39	5098	122354
40	5210	121879
41	5340	121814
42	5456	121441
43	5584	121327
44	5703	121037
45	5884	122036
46	6062	122917
47	6280	124564
48	6495	126062
49	6654	126443
50	6786	126278
51	6937	126478
52	7080	126514
53	7216	126416
54	7363	126513
55	7497	126391
56	7666	126837
57	7736	125646
58	7901	126022
59	8064	126340
60	8218	126509
61	8367	126585
62	8505	126508
63	8669	126786
64	8795	126518
65	8961	126815
66	9121	127024
67	9243	126691
68	9408	126953
69	9582	127314
70	9747	127540
71	9881	127362
72	9972	126642
73	10117	126609
74	10255	126481
75	10428	126785
76	10567	126666
77	10712	126632
78	10862	126631
79	11051	127097
80	11131	126295
81	11286	126358
82	11441	126413
83	11574	126215
84	11727	126237
85	11871	126167
86	12029	126236
87	12215	126593
88	12353	126445
89	12496	126355
90	12656	126430
91	12729	125634
92	12883	125647
93	12951	124831
94	13086	124666
95	13230	124588
96	13367	124445
97	13502	124278
98	13663	124352
99	13835	124516
100	13974	124385
101	14151	124591
102	14222	123857
103	14301	123210
104	14445	123133
105	14587	123028
106	14738	123003
107	14903	123093
108	15028	122844
109	15155	122619
110	15320	122704
111	15425	122299
112	15564	122174
113	15669	121782
114	15812	121685
115	15950	121553
116	16103	121530
117	16239	121380
118	16378	121256
119	16439	120558
120	16596	120567
121	16762	120637
122	16892	120446
123	17062	120539
124	17196	120376
125	17355	120383
126	17495	120261
127	17607	119950
128	17775	120015
129	17923	119948
130	18073	119890
131	18213	119769
132	18386	119858
133	18534	119784
134	18591	119126
135	18745	119086
136	18861	118810
137	18979	118551
138	19118	118421
139	19309	118618
140	19477	118659
141	19614	118515
142	19760	118423
143	19926	118450
144	20071	118352
145	20195	118130
146	20339	118027
147	20491	117966
148	20635	117859
149	20807	117911
150	20960	117853
151	21115	117800
152	21257	117677
153	21443	117797
154	21572	117604
155	21700	117404
156	21845	117295
157	21999	117239
158	22156	117193
159	22360	117392
160	22556	117544
161	22682	117331
162	22842	117297
163	22993	117212
164	23115	116978
165	23281	116969
166	23433	116886
167	23592	116836
168	23715	116615
169	23855	116469
170	23975	116231
171	24125	116137
172	24255	115947
173	24380	115739
174	24541	115696
175	24662	115463
176	24794	115288
177	24913	115051
178	25077	115018
179	25213	114863
180	25352	114715
181	25501	114615
182	25635	114449
183	25805	114440
184	25946	114306
185	26076	114120
186	26210	113953
187	26342	113779
188	26497	113699
189	26644	113591
190	26786	113458
191	26953	113427
192	27090	113273
193	27210	113051
194	27346	112892
195	27517	112877
196	27653	112718
197	27778	112517
198	27955	112526
199	28112	112449
200	28284	112434
201	28403	112209
202	28537	112040
203	28672	111880
204	28807	111718
205	28923	111482
206	29075	111386
207	29245	111359
208	29402	111279
209	29534	111107
210	29709	111094
211	29847	110941
212	30051	111036
213	30194	110900
214	30348	110806
215	30481	110637
216	30623	110497
217	30765	110360
218	30916	110256
219	31068	110150
220	31224	110062
221	31366	109923
222	31513	109801
223	31651	109648
224	31785	109483
225	31937	109379
226	32055	109158
227	32199	109027
228	32358	108944
229	32490	108771
230	32609	108556
231	32753	108423
232	32880	108238
233	33023	108102
234	33186	108031
235	33322	107874
236	33445	107675
237	33605	107594
238	33742	107438
239	33894	107333
240	34045	107222
241	34184	107072
242	34363	107051
243	34482	106840
244	34641	106751
245	34752	106518
246	34903	106406
247	35049	106280
248	35177	106097
249	35343	106031
250	35483	105885
251	35660	105850
252	35813	105740
253	35964	105627
254	36104	105481
255	36247	105344
256	36408	105257
257	36548	105112
258	36693	104980
259	36834	104836
260	36971	104680
261	37110	104533
262	37265	104428
263	37408	104289
264	37542	104125
265	37682	103982
266	37813	103809
267	37959	103679
268	38156	103689
269	38277	103489
270	38414	103336
271	38655	103459
272	38850	103459
273	38983	103290
274	39126	103151
275	39269	103012
276	39416	102880
277	39595	102834
278	39747	102715
279	39896	102590
280	40051	102479
281	40173	102286
282	40290	102079
283	40450	101981
284	40601	101860
285	40736	101698
286	40867	101528
287	40995	101350
288	41143	101221
289	41294	101099
290	41430	100941
291	41574	100804
292	41721	100672
293	41866	100535
294	42048	100488
295	42232	100444
296	42367	100283
297	42532	100195
298	42714	100144
299	42882	100058
300	43011	99883
301	43134	99695
302	43288	99578
303	43427	99424
304	43560	99259
305	43748	99221
306	43885	99063
307	44007	98874
308	44103	98625
309	44237	98463
310	44398	98361
311	44535	98207
312	44689	98089
313	44838	97958
314	44967	97787
315	45094	97610
316	45286	97574
317	45368	97299
318	45505	97145
319	45662	97032
320	45811	96903
321	45963	96781
322	46123	96673
323	46280	96561
324	46398	96366
325	46539	96219
326	46667	96047
327	46784	95850
328	46916	95687
329	47057	95540
330	47195	95389
331	47296	95162
332	47398	94940
333	47539	94793
334	47689	94666
335	47848	94558
336	47967	94369
337	48114	94236
338	48221	94025
339	48371	93896
340	48567	93858
341	48734	93764
342	48879	93626
343	48998	93438
344	49146	93306
345	49310	93205
346	49424	93009
347	49538	92813
348	49669	92649
349	49817	92518
350	49961	92379
351	50086	92204
352	50219	92044
353	50356	91893
354	50500	91753
355	50636	91601
356	50762	91428
357	50845	91180
358	50992	91047
359	51135	90907
360	51294	90794
361	51426	90635
362	51570	90497
363	51710	90350
364	51862	90227
365	52030	90129
366	52193	90022
367	52333	89876
368	52497	89772
369	52625	89606
370	52772	89470
371	52940	89372
372	53073	89214
373	53240	89114
374	53399	88999
375	53570	88904
376	53717	88769
377	53876	88653
378	53954	88405
379	54091	88253
380	54279	88186
381	54473	88127
382	54606	87968
383	54754	87835
384	54951	87778
385	55089	87629
386	55246	87509
387	55380	87352
388	55570	87284
389	55753	87204
390	55871	87022
391	56012	86877
392	56100	86649
393	56240	86501
394	56402	86388
395	56515	86201
396	56639	86029
397	56766	85862
398	56938	85765
399	57105	85657
400	57281	85564
401	57443	85451
402	57617	85354
403	57768	85223
404	57900	85063
405	58017	84883
406	58163	84744
407	58367	84690
408	58501	84533
409	58630	84371
410	58749	84192
411	58950	84132
412	59111	84016
413	59251	83868
414	59406	83741
415	59569	83626
416	59690	83452
417	59859	83345
418	59997	83194
419	60116	83017
420	60316	82952
421	60441	82785
422	60593	82653
423	60731	82503
424	60871	82355
425	61033	82237
426	61219	82151
427	61369	82017
428	61536	81905
429	61683	81766
430	61814	81606
431	61955	81460
432	62147	81380
433	62297	81245
434	62443	81105
435	62577	80948
436	62720	80804
437	62869	80667
438	63025	80540
439	63187	80420
440	63337	80284
441	63472	80130
442	63597	79962
443	63755	79838
444	63918	79718
445	64052	79562
446	64200	79425
447	64355	79295
448	64499	79152
449	64666	79037
450	64819	78904
451	64970	78769
452	65106	78616
453	65255	78479
454	65386	78320
455	65530	78176
456	65676	78035
457	65819	77890
458	65939	77719
459	66054	77542
460	66183	77381
461	66346	77261
462	66533	77166
463	66696	77046
464	66817	76876
465	67003	76781
466	67161	76653
467	67356	76567
468	67496	76418
469	67688	76329
470	67808	76158
471	67987	76054
472	68116	75892
473	68249	75736
474	68403	75604
475	68518	75427
476	68689	75313
477	68802	75136
478	68949	74994
479	69074	74830
480	69186	74652
481	69393	74576
482	69540	74435
483	69724	74334
484	69894	74218
485	70099	74138
486	70232	73982
487	70422	73886
488	70669	73849
489	70813	73703
490	70996	73598
491	71129	73442
492	71264	73288
493	71437	73172
494	71561	73007
495	71701	72858
496	71855	72722
497	72011	72589
498	72184	72473
499	72334	72334
500	72478	72189
501	72607	72029
502	72773	71905
503	72951	71793
504	73082	71635
505	73200	71464
506	73368	71342
507	73499	71184
508	73660	71055
509	73812	70917
510	73957	70773
511	74103	70629
512	74266	70502
513	74408	70355
514	74553	70210
515	74685	70053
516	74832	69911
517	74989	69778
518	75144	69642
519	75277	69486
520	75424	69344
521	75552	69184
522	75718	69058
523	75843	68896
524	75974	68738
525	76108	68584
526	76232	68420
527	76383	68282
528	76546	68153
529	76685	68004
530	76830	67859
531	76971	67711
532	77109	67560
533	77256	67418
534	77441	67309
535	77588	67166
536	77770	67053
537	77898	66893
538	78052	66757
539	78189	66605
540	78357	66481
541	78531	66360
542	78694	66230
543	78822	66071
544	78955	65916
545	79105	65776
546	79236	65619
547	79416	65504
548	79545	65346
549	79708	65216
550	79847	65066
551	80034	64955
552	80186	64816
553	80357	64692
554	80509	64552
555	80624	64383
556	80756	64228
557	80933	64108
558	81093	63975
559	81251	63840
560	81409	63705
561	81555	63561
562	81702	63417
563	81818	63249
564	81961	63103
565	82111	62962
566	82284	62837
567	82450	62708
568	82619	62581
569	82761	62434
570	82891	62277
571	83023	62122
572	83177	61984
573	83342	61853
574	83457	61685
575	83608	61544
576	83735	61386
577	83883	61243
578	84026	61096
579	84159	60943
580	84290	60787
581	84439	60645
582	84577	60495
583	84739	60362
584	84882	60215
585	85025	60069
586	85205	59948
587	85338	59795
588	85485	59651
589	85638	59511
590	85847	59410
591	86020	59284
592	86209	59169
593	86392	59049
594	86541	58906
595	86693	58765
596	86847	58625
597	87000	58484
598	87149	58342
599	87269	58179
600	87396	58021
601	87569	57894
602	87701	57740
603	87840	57590
604	87982	57443
605	88118	57291
606	88236	57128
607	88370	56975
608	88535	56842
609	88682	56698
610	88869	56580
611	89008	56430
612	89157	56287
613	89304	56142
614	89442	55992
615	89600	55854
616	89787	55735
617	89923	55583
618	90061	55433
619	90188	55276
620	90306	55114
621	90424	54952
622	90575	54810
623	90693	54648
624	90837	54502
625	90995	54364
626	91152	54226
627	91347	54110
628	91479	53956
629	91592	53792
630	91752	53655
631	91874	53496
632	92026	53355
633	92168	53207
634	92298	53053
635	92431	52901
636	92579	52757
637	92714	52606
638	92861	52461
639	93028	52328
640	93148	52169
641	93338	52048
642	93477	51899
643	93617	51751
644	93730	51588
645	93879	51444
646	94006	51289
647	94156	51146
648	94284	50991
649	94421	50842
650	94550	50688
651	94721	50556
652	94872	50414
653	95056	50289
654	95188	50137
655	95321	49985
656	95483	49849
657	95652	49716
658	95873	49609
659	96034	49472
660	96174	49324
661	96343	49190
662	96492	49046
663	96640	48902
664	96791	48759
665	96929	48610
666	97055	48455
667	97186	48302
668	97352	48166
669	97486	48015
670	97649	47878
671	97764	47718
672	97890	47563
673	98043	47421
674	98162	47263
675	98305	47117
676	98446	46969
677	98568	46812
678	98721	46670
679	98888	46535
680	99047	46396
681	99213	46260
682	99365	46118
683	99518	45976
684	99706	45850
685	99860	45708
686	99982	45552
687	100115	45401
688	100286	45267
689	100422	45117
690	100553	44965
691	100680	44811
692	100817	44662
693	100979	44524
694	101106	44370
695	101228	44214
